input,session_id,timestamp,event_type,event_type_detail,pointer_id,x,y,pressure,size,touch_major,touch_minor,raw_x,raw_y
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417207000000,down,down,0,556.0,1123.0,1.0,0.019607844,5.0,5.0,556.0,1123.0
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417234000000,down,pointer_down,1,594.0,875.0,1.0,0.019607844,5.0,5.0,594.0,875.0
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417280000000,move,move,0,556.0,1123.0,1.0,0.019607844,5.0,5.0,556.0,1123.0
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417280000000,move,move,1,594.0,875.0,1.0,0.019607844,5.0,5.0,594.0,875.0
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417299000000,move,move,0,556.0,1123.0,1.0,0.019607844,5.0,5.0,556.0,1123.0
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417299000000,move,move,1,595.0012,873.9988,1.0,0.019607844,5.0,5.0,595.0012,873.9988
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417316000000,move,move,0,556.0,1123.0,1.0,0.019607844,5.0,5.0,556.0,1123.0
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417316000000,move,move,1,598.247,867.00397,1.0,0.019607844,5.0,5.0,598.247,867.00397
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417332000000,move,move,0,554.4694,1127.0612,1.0,0.019607844,5.0,5.0,554.4694,1127.0612
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417332000000,move,move,1,603.5918,859.8776,1.0,0.019607844,5.0,5.0,603.5918,859.8776
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417349000000,move,move,0,552.6341,1132.0978,1.0,0.019607844,5.0,5.0,552.6341,1132.0978
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417349000000,move,move,1,607.7319,852.5363,1.0,0.019607844,5.0,5.0,607.7319,852.5363
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417366000000,move,move,0,550.82983,1137.5105,1.0,0.019607844,5.0,5.0,550.82983,1137.5105
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417366000000,move,move,1,612.51044,845.3194,1.0,0.019607844,5.0,5.0,612.51044,845.3194
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417382000000,move,move,0,548.1059,1144.7882,1.0,0.019607844,5.0,5.0,548.1059,1144.7882
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417382000000,move,move,1,615.8941,840.1589,1.0,0.019607844,5.0,5.0,615.8941,840.1589
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417399000000,move,move,0,544.6264,1153.4341,1.0,0.019607844,5.0,5.0,544.6264,1153.4341
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417399000000,move,move,1,619.3736,835.6264,1.0,0.019607844,5.0,5.0,619.3736,835.6264
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417416000000,move,move,0,540.4236,1164.1528,1.0,0.019607844,5.0,5.0,540.4236,1164.1528
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417416000000,move,move,1,623.0509,831.4236,1.0,0.019607844,5.0,5.0,623.0509,831.4236
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417432000000,move,move,0,536.2473,1175.258,1.0,0.019607844,5.0,5.0,536.2473,1175.258
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417432000000,move,move,1,626.7527,825.871,1.0,0.019607844,5.0,5.0,626.7527,825.871
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417449000000,move,move,0,532.73193,1184.6702,1.0,0.019607844,5.0,5.0,532.73193,1184.6702
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417449000000,move,move,1,630.26807,819.46387,1.0,0.019607844,5.0,5.0,630.26807,819.46387
touch,2cb2a104-7b3f-401c-994f-3e551dffa725,1772973417466000000,move,move,0,529.2544,1192.4912,1.0,0.019607844,5.0,5.0,529.2544,1192.4912
